Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
Sautter, Juergen; Staude, Isabelle; Decker, Manuel; Rusak, Evgenia; Brener, Igal; Neshev, Dragomir N; Kivshar, Yuri S; 	Liquid crystal tuning of all-dielectric metasurfaces	CLEO: QELS_Fundamental Science			FTu1C. 2	2015	Optica Publishing Group
Guo, Rui; Rusak, Evgenia; Staude, Isabelle; Dominguez, Jason; Decker, Manuel; Rockstuhl, Carsten; Brener, Igal; Neshev, Dragomir N; Kivshar, Yuri S; 	Multipolar coupling in hybrid metal–dielectric metasurfaces	Acs Photonics	3	3	349-353	2016	American Chemical Society
Sautter, Jürgen; Staude, Isabelle; Decker, Manuel; Rusak, Evgenia; Neshev, Dragomir N; Brener, Igal; Kivshar, Yuri S; 	Active Tuning of All-Dielectric Metasurfaces with Liquid Crystals	The European Conference on Lasers and Electro-Optics			CK_6_3	2015	Optica Publishing Group
Noginova, Natalia; Mashhadi, S; Noginov, MA; Chong, Katie E; Kivshar, Yu S; Keene, D; Vaskin, Aleksandr; Rusak, Evgenia; Rockstuhl, Carsten; Pertsch, Thomas; 	Probing and Mapping Optical Fields in Si Disk Arrays with Eu3+	CLEO: QELS_Fundamental Science			FF2G. 7	2017	Optica Publishing Group
Staude, Isabelle; Guo, Rui; Rusak, Evgenia; Dominguez, Jason; Decker, Manuel; Rockstuhl, Carsten; Brener, Igal; Neshev, Dragomir N; Pertsch, Thomas; Kivshar, Yuri S; 	Hybrid metal-dielectric nanostructures for advanced light-field manipulation (Conference Presentation)	Advanced Fabrication Technologies for Micro/Nano Optics and Photonics X	10115		40-40	2017	SPIE
Rusak, Evgenia; Guo, Rui; Staude, Isabelle; Decker, Manuel; Sautter, Jürgen; Miroshnichenko, Andrey E; Powell, David A; Brener, Igal; Neshev, Dragomir N; Kivshar, Yuri S; 	Metal-Dielectric Nanoantennas for Enhancement of Directional Emission	European Quantum Electronics Conference			EH_5_1	2015	Optica Publishing Group
Rusak, Evgenia; Guo, Rui; Staude, Isabelle; Decker, Manuel; Sautter, Jürgen; Miroshnichenko, Andrey; Powell, David A; Neshev, Dragomir N; Kivshar, Yuri S; 	Hybrid metal-dielectric nanoantennas for directional emission enhancement	CLEO: QELS_Fundamental Science			FTu2E. 2	2015	Optica Publishing Group
Chen, Haitao; Yang, Jiong; Rusak, Evgenia; Straubel, Jakob; Guo, Rui; Myint, Ye M; Pei, JiaJie; Decker, Manuel; Staude, Isabelle; Rockstuhl, Carsten; 	Manipulation of photoluminescence of 2D MoSe2 by gold nanoantennas (Conference Presentation)	Carbon Nanotubes, Graphene, and Emerging 2D Materials for Electronic and Photonic Devices IX	9932		34-34	2016	SPIE
Rusak, Evgenia; Staude, Isabelle; Decker, Manuel; Sautter, Jürgen; Miroshnichenko, Andrey E; Powell, David A; Neshev, Dragomir N; Kivshar, Yuri S; 	Hybrid nanoantennas for directional emission enhancement	Applied Physics Letters	105	22		2014	AIP Publishing
Sautter, J; Staude, I; Decker, M; Rusak, E; Neshev, DN; Brener, I; Kivshar, YS; 	ACS Nano 2015, 9, 4308–4315						DOI
Sautter, Jurgen; Staude, Isabelle; Decker, Manuel; Rusak, Evgenia; Neshev, Dragomir N; Brener, Igal; Kivshar, Yuri S; 	Active tuning of all-dielectric metasurfaces	ACS nano	9	4	4308-4315	2015	American Chemical Society
Chen, Haitao; Yang, Jiong; Rusak, Evgenia; Straubel, Jakob; Guo, Rui; Myint, Ye Win; Pei, Jiajie; Decker, Manuel; Staude, Isabelle; Rockstuhl, Carsten; 	Manipulation of photoluminescence of two-dimensional MoSe2 by gold nanoantennas	Scientific reports	6	1	22296	2016	Nature Publishing Group UK London
Yekani, Rana; Rusak, Evgenia; Riaz, Adnan; Felten, Alexandre; Breitung, Ben; Dehm, Simone; Perera, Delwin; Rohrer, Jochen; Rockstuhl, Carsten; Krupke, Ralph; 	Formation of nanocrystalline graphene on germanium	Nanoscale	10	25	12156-12162	2018	Royal Society of Chemistry
Vaskin, Aleksandr; Mashhadi, Soheila; Steinert, Michael; Chong, Katie E; Keene, David; Nanz, Stefan; Abass, Aimi; Rusak, Evgenia; Choi, Duk-Yong; Fernandez-Corbaton, Ivan; 	Manipulation of magnetic dipole emission from Eu3+ with Mie-resonant dielectric metasurfaces	Nano Letters	19	2	1015-1022	2019	American Chemical Society
